Hash,Avg_Performance,Frequency
02e5422aab7de6f8c7085c49e3dcfbd0,0.8536227569600001,5
06ca799d48ae36a9531806afdca88413,0.2842529967,1
07442c85ffbd70b4714b8955949b19b9,0.9705278981000001,2
09bb89423fc0fc327c8e43e40e94bdec,0.1487682764,1
0b48c0334fbbd6165ab56eb8558c39c4,0.6284,1
1f1d3cc657bb2b6dec1e41b5741e1f09,0.62479364496,3
2173f067a16a31c6dd1b625a11bfd19c,0.867192756715,2
27c17d1425d8353cb99b891ee378aaa2,0.1441058572,1
2815cd25f1bf751b1c3282b0e406bdac,1.2,1
28537714e547a673e5d070a292f5bd93,1.06452448145,2
2992d6bdeca59b85e54e32b0a4146631,0.82594489325,2
2a2e503c7a4445c04c91790ffeca8d96,0.3103,1
2f7a6b1eb3db313ee03a9cdd9b5f612d,0.89136113685,2
31f7dbb597bccd3d34b6d9c5723fee6b,1.15648344215,6
367638e8cafbd7f1ff7e41b340924e49,0.5331400112,1
37e2eb5bcd8950b70c43aa992b513f8f,1.1227,1
3b703bfd5f4395ad8da41764beabd825,0.3545068912,1
3d390df5d70309227d28ac91e3357be3,0.826,1
42eb2edb762f429e921cc34d71e3652c,1.307943366975,4
45261982bae50b13b491b8579a80c3bd,1.376462849,1
4573a7486a7ae43385d01309a7ef4380,2.263,1
4a5aadc666abae4b9b0b80a0ad2f9865,0.5857,1
4f527fa5729695792aa8fc4a53f95a22,1.4262,1
5375ca0dc74cac35c0da0f7388ecd8f6,0.42313409575,2
58967db3c17d5b7fd36b2c3ed4b0225b,1.1695,1
5b348c2b378d5d06b41058f6ab1acd87,1.0084019275,2
5c6f360bda8fab851a3f96f5cad2b18a,0.3826100584,1
5c93e34a3bf1dddeac55fd515bd9b462,1.2383,1
6a93d65eeaab2d86f1732287be95ea7e,0.743,1
6d1f912d321ad6a56c152d73a31b4b21,0.7006029682,1
6f0e6736916c01c91e9bb08f3c8ec12b,0.2876825287,1
6f5048b60c8e15bb71ff9fe4297c6a9a,0.23545392,1
721333549631e9652f3a585b3a296887,0.9215848452,1
7ed5b587b29059486f58041fc2c3ca17,1.3935,1
828de100ddeffb87385f6adbfa8c25b8,0.156648097745,2
83432c9a3a854a5f654fcf246d66b8dd,0.74365588195,4
83f346692ce782135b86e6b9375a91d3,0.3276,1
842548910a3a35523e2d1b33def60dc5,1.423775128,1
843ba180c880ce8eb857d34a82b9d7a4,0.09930791415,1
84f96a2e9318a36eaff2c22ac0dbfa20,0.7892929041413793,29
85864627c2342b749f422d188fa19f98,0.9561983745,2
85f2c5ceddbdc070e9baff2f4e033617,0.3143,2
861af745863aaee2f6221dbf8aae8f01,0.229751702,1
9015a1757693682cb771fef0111c4b12,2.0126,1
9391e2edd5ac0a4ce73889dffcf6c326,1.6498139185,2
972d1d0935b9119411acfe9cde0f4da2,0.9871,2
9f57f3e4350e4aa3d29d8a434f6dc9f1,0.92721487868,30
9f852879ba3602afff06fab9520cb4e0,2.1427,1
a30c6dc2c66472a157c83009d75a0201,0.7173,1
a5e7d9aee9cf32285f2d57cae2af9bdc,0.6267,1
a6b2fdedbba69a7aad29927a917f4458,1.0509539789666666,3
a90e954df70a69a0e69057a72f17a328,1.500649605075,4
aae05ed03e2f6ea3cdb2792e8978d763,1.3612739184,2
ad1f9800f36fac0b2ac08df0789b1f31,0.9662801809999999,5
afd36f9d4e305dc522fee08ec33f299d,0.3357867941,1
b77d00ac9de1400ecb0ffc5b70aac51a,0.5277488215,1
b7eb1c03591063a8eba3409829d08381,1.373426554,1
ba2ee1ee73c5a33672fa4a0d853a8190,1.6774006584999999,2
bf2f6e0c1e6c758796ccab2e5546c383,0.997543758925,4
c31d113ae0b7a5d763e89f16684db241,0.6028566011000001,2
ccbff97faf9201c2b167b0c6fe2698f3,0.2536277381,1
cd0550c99c10cfa3e4d50752ca8df275,0.8701819665,1
ce4c02813eaac2bb3e6c3d1c6093abf6,1.9887417255000002,2
cfe34e33e75225e587d7e7209b290f52,1.2417320009,2
d493c65f52df3f52a2545fee044a1751,1.13048487865,2
d55557bd4332c04edc9f9505a1341814,1.5304,1
d804202f84cf0e2041358adad728a414,2.2575,1
d8e384b9c5bb9e919c2a539447afa4ce,0.9160400215,1
dcae0161fdc53016df5201ba2140e698,0.7411026971,1
ec352aca335930f75c91ec2b8e60c73c,1.368026406,3
eec4394f6a1bb7e802fa3d69283acebe,1.260474462,1
f53dba7891c00eda09c02649de831dab,1.274918363,1
f8b549c412a3b5585b5c352e708e911b,1.0663650694794318,88
ff3dd0f222e0b504b36c856d307b082f,0.4917,1
fffc703a7886cdaa832003d16514a313,0.8012602308,1
